task_id	doc	cpp_file	cpp_lines	rust_target	depends	status	acceptance	notes
#ACCOUNTS.WBS.001	accounts.md	game/Accounts/AccountMgr.cpp	607	`crates/wow-database`, `crates/wow-network`, `crates/bnet-server`, `crates/wow-world`, `crates/wow-constants`, `crates/world-server`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	needs_split	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	C++ file has 607 lines; split by public API, state model, persistence, runtime behavior and tests before implementation. Assignment basis: prefix.
#ACCOUNTS.WBS.002	accounts.md	game/Accounts/AccountMgr.h	99	`crates/wow-database`, `crates/wow-network`, `crates/bnet-server`, `crates/wow-world`, `crates/wow-constants`, `crates/world-server`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#ACCOUNTS.WBS.003	accounts.md	game/Accounts/BattlenetAccountMgr.cpp	215	`crates/wow-database`, `crates/wow-network`, `crates/bnet-server`, `crates/wow-world`, `crates/wow-constants`, `crates/world-server`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#ACCOUNTS.WBS.004	accounts.md	game/Accounts/BattlenetAccountMgr.h	50	`crates/wow-database`, `crates/wow-network`, `crates/bnet-server`, `crates/wow-world`, `crates/wow-constants`, `crates/world-server`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#ACCOUNTS.WBS.005	accounts.md	game/Accounts/RBAC.cpp	282	`crates/wow-database`, `crates/wow-network`, `crates/bnet-server`, `crates/wow-world`, `crates/wow-constants`, `crates/world-server`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#ACCOUNTS.WBS.006	accounts.md	game/Accounts/RBAC.h	1018	`crates/wow-database`, `crates/wow-network`, `crates/bnet-server`, `crates/wow-world`, `crates/wow-constants`, `crates/world-server`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	needs_split	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	C++ file has 1018 lines; split by public API, state model, persistence, runtime behavior and tests before implementation. Assignment basis: prefix.
#ACHIEVEMENTS.WBS.001	achievements.md	game/Achievements/AchievementMgr.cpp	1365	`crates/wow-achievement`, `crates/wow-world/src/handlers`, `crates/wow-core`, `crates/wow-constants`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	needs_split	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	C++ file has 1365 lines; split by public API, state model, persistence, runtime behavior and tests before implementation. Assignment basis: prefix.
#ACHIEVEMENTS.WBS.002	achievements.md	game/Achievements/AchievementMgr.h	191	`crates/wow-achievement`, `crates/wow-world/src/handlers`, `crates/wow-core`, `crates/wow-constants`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#ACHIEVEMENTS.WBS.003	achievements.md	game/Achievements/CriteriaHandler.cpp	4285	`crates/wow-achievement`, `crates/wow-world/src/handlers`, `crates/wow-core`, `crates/wow-constants`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	needs_split	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	C++ file has 4285 lines; split by public API, state model, persistence, runtime behavior and tests before implementation. Assignment basis: prefix.
#ACHIEVEMENTS.WBS.004	achievements.md	game/Achievements/CriteriaHandler.h	421	`crates/wow-achievement`, `crates/wow-world/src/handlers`, `crates/wow-core`, `crates/wow-constants`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.001	ai-base.md	game/AI/CoreAI/AreaTriggerAI.cpp	28	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
#AI_BASE.WBS.002	ai-base.md	game/AI/CoreAI/AreaTriggerAI.h	79	`crates/wow-ai`	#REFINE.020, #REFINE.021; execution order finalized by #REFINE.040	ready_for_small_task	Rust target compiles; behavior and public contracts are checked against the listed C++ file; unit/golden/integration tests are added or marked n/a with reason; divergences are recorded before closing.	Single source-file coverage task; split further if C++ review exposes multiple independent behaviors. Assignment basis: prefix.
