id	status	count	cpp_refs	rust_targets	scope	acceptance	notes
#NEXT.L1.DB.PREP.CHARACTER.001_BOOT_ENUM_ACCOUNT	complete	59	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/CharacterDatabase.cpp	crates/wow-database/src/statements/character.rs	account/list/create/delete/rename/customize/ban/maintenance statements	generated C++ SQL support covers scoped statements exactly; runtime use remains limited to consumed blockers	do not import GM tooling writes until consumed
#NEXT.L1.DB.PREP.CHARACTER.002_LOGIN_LOAD	complete	18	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/CharacterDatabase.cpp	crates/wow-database/src/statements/character.rs	player load root selects and login-time group/guild/corpse/respawn/instance reads	generated C++ SQL support covers scoped statements exactly; canonical Player load remains a runtime task	coordinate with canonical Player load
#NEXT.L1.DB.PREP.CHARACTER.003_PLAYER_PROGRESSION	complete	81	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/CharacterDatabase.cpp	crates/wow-database/src/statements/character.rs	actions achievements criteria reputation skills spells cooldowns talents glyphs traits currency equipment/transmog	generated C++ SQL support covers scoped statements exactly; progression semantics remain owner tasks	defer full achievements backend to L6/L7
#NEXT.L1.DB.PREP.CHARACTER.004_INVENTORY_ITEMS	complete	27	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/CharacterDatabase.cpp	crates/wow-database/src/statements/character.rs	item instances inventory gifts refunds item-loot containers void storage BOP gems transmog	generated C++ SQL support covers scoped statements exactly; item ownership/runtime remains a Player storage task	keep item ownership aligned with canonical Player storage
#NEXT.L1.DB.PREP.CHARACTER.005_QUESTS	complete	36	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/CharacterDatabase.cpp	crates/wow-database/src/statements/character.rs	quest status objectives criteria rewarded and resets	generated C++ SQL support covers scoped statements exactly; quest semantics remain owner tasks	full quest semantics remain separate
#NEXT.L1.DB.PREP.CHARACTER.006_MAIL	complete	24	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/CharacterDatabase.cpp	crates/wow-database/src/statements/character.rs	mail list/read/items/expiry/return/delete/receiver updates	generated C++ SQL support covers scoped statements exactly; full mail subsystem remains later	full mail runtime later
#NEXT.L1.DB.PREP.CHARACTER.007_AUCTION	complete	21	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/CharacterDatabase.cpp	crates/wow-database/src/statements/character.rs	auction auction_items auction_bidders blackmarket	generated C++ SQL support covers scoped statements exactly; no runtime mutation before auction subsystem	no runtime mutation before auction subsystem
#NEXT.L1.DB.PREP.CHARACTER.008_GUILD	complete	60	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/CharacterDatabase.cpp	crates/wow-database/src/statements/character.rs	guild ranks members bank achievements criteria petitions	generated C++ SQL support covers scoped statements exactly; guild management runtime remains separate	defer guild management writes
#NEXT.L1.DB.PREP.CHARACTER.009_GROUP_INSTANCE	complete	50	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/CharacterDatabase.cpp	crates/wow-database/src/statements/character.rs	group battleground arena calendar channel instance locks respawns	generated C++ SQL support covers scoped statements exactly; Map/Instance gates own first consumers	Map/Instance gates own first consumers
#NEXT.L1.DB.PREP.CHARACTER.010_PETS	complete	45	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/CharacterDatabase.cpp	crates/wow-database/src/statements/character.rs	pets pet auras/effects/spells/cooldowns/charges/declined names	generated C++ SQL support covers scoped statements exactly; pet runtime remains blocked on Player/Unit/Pet	requires Player/Unit/Pet state
#NEXT.L1.DB.PREP.CHARACTER.011_STATE_MISC	complete	61	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/CharacterDatabase.cpp	crates/wow-database/src/statements/character.rs	aura stored locations social corpse homebind pvp war mode online zone position taxi at-login	generated C++ SQL support covers scoped statements exactly; runtime integration remains owner-scoped	broad state bucket for remaining non-subsystem character rows
