id	kind	status	depends_on	cpp_refs	rust_targets	acceptance	rollback_or_parking	notes
#NEXT.L1.INFRA.001	followup	complete	#NEXT.L0.CONFIG.002	docs/migration/database-framework.md; docs/migration/datastores.md	crates/wow-database; crates/wow-data; crates/world-server; crates/wow-world	L1 database/prepared + DB2/hotfix gate has C++-owned statements, loaders and tests	cargo test -p wow-database; cargo test -p wow-data; cargo check -p world-server	Runtime consumer wiring and hotfix overlay application remain downstream owner work; L3 Maps may proceed with explicit blockers
#NEXT.L1.INFRA.001.a	implementation	complete	#NEXT.L1.INFRA.001	/home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp:1539; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp:1609; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp:1661	crates/wow-database/src/statements/hotfix.rs; crates/wow-data/src/hotfix_cache.rs; crates/world-server/src/main.rs; crates/wow-world/src/handlers/character.rs	hotfix_data/hotfix_blob/hotfix_optional_data are HotfixDatabase statements; startup preloads overlays; DBQueryBulk no longer queries hotfix_blob through WorldDatabase	cargo test -p wow-database; cargo test -p wow-data; cargo test -p world-server	C++ uses HotfixDatabase/DB2Manager for these tables, not WorldDatabase
#NEXT.L1.INFRA.001.b	refine	complete	#NEXT.L1.INFRA.001.a	docs/migration/inventory/r3-database-registry.md; /home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/*.cpp	crates/wow-database/src/statements	L1 prepared-statement closure is split by DB and by runtime blocker instead of pretending 1461 statements can be hand-waved	none	R3 counts: login 136 named, world 57 named, character 511 missing/12 named, hotfix 745 missing before 001.a control statements
#NEXT.L1.INFRA.001.c	refine	complete	#NEXT.L1.INFRA.001.a	docs/migration/inventory/r3-database-registry.md; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp	crates/wow-data	DB2 store closure is split into minimal runtime stores, hotfix overlay, and deferred full 325-store generation	none	R3 counts: 318 missing DB2 stores, 5 file loaders, 2 direct SQL hotfix flows
#NEXT.L1.DB.PREP.CHARACTER	refine	complete	#NEXT.L1.INFRA.001.b	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/CharacterDatabase.h; /home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/CharacterDatabase.cpp	crates/wow-database/src/statements/character.rs	523 C++ CharacterDatabase prepared statements covered at the prepared-statement layer via direct statements plus generated C++ SQL support; runtime subsystem usage remains owned by Player/Mail/Guild/Auction/Quest/etc.	none	See docs/migration/inventory/r7-l1-character-prep-batches.md and .tsv; prefer direct named variants when runtime code consumes a statement
#NEXT.L1.DB.PREP.HOTFIX	refine	complete	#NEXT.L1.INFRA.001.b	/home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/HotfixDatabase.h; /home/server/woltk-trinity-legacy/src/server/database/Database/Implementation/HotfixDatabase.cpp	crates/wow-database/src/statements/hotfix.rs	745 C++ generated HotfixDatabase enum entries covered via direct statements plus generated base/max-id/locale support; runtime hotfix overlay application remains owned by DB2 consumers	none	See docs/migration/inventory/r7-l1-hotfix-prep-batches.md and .tsv
#NEXT.L1.DB2.STORES	refine	complete	#NEXT.L1.INFRA.001.c	/home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Structure.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2LoadInfo.h	crates/wow-data	C++ 325 DB2Storage files reconciled against 325 exact Rust DB2 filename references; all implemented as typed readers and fixture-open tested	none	See docs/migration/inventory/r7-l1-db2-store-batches.md and .tsv; ID-only stores do not count as typed parity
#NEXT.L1.DB2.STORES.001_MAPS_WORLD	implementation	complete	#NEXT.L1.DB2.STORES	/home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Structure.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2LoadInfo.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Metadata.h	crates/wow-data/src/maps_world.rs; crates/wow-data/src/lib.rs	16 Maps/World exact-file DB2 gaps implemented as typed readers and fixture-open tested	cargo test -p wow-data	Remaining consumer wiring/hotfix overlays are parked to downstream L3/runtime tasks
#NEXT.L1.DB2.STORES.002_ENTITIES_MOVEMENT	implementation	complete	#NEXT.L1.DB2.STORES	/home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Structure.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2LoadInfo.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Metadata.h	crates/wow-data/src/entities_movement.rs; crates/wow-data/src/lib.rs	14 Entities/Movement exact-file DB2 gaps implemented as typed readers and fixture-open tested	cargo test -p wow-data	Remaining L4/L5 consumer wiring/hotfix overlays are parked to downstream runtime tasks
#NEXT.L1.DB2.STORES.003_ITEMS_COLLECTIONS.EQUIPMENT	implementation	complete	#NEXT.L1.DB2.STORES.003_ITEMS_COLLECTIONS	/home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Stores.cpp; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Structure.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2LoadInfo.h; /home/server/woltk-trinity-legacy/src/server/game/DataStores/DB2Metadata.h	crates/wow-data/src/item_equipment.rs; crates/wow-data/src/lib.rs	14 item equipment/armor/damage/durability exact-file DB2 gaps implemented as typed readers and fixture-open tested	cargo test -p wow-data item_equipment	Followed by bonus/selector subbatch
