id	kind	status	depends_on	cpp_refs	rust_targets	acceptance	rollback_or_parking	notes
#NEXT.L3.MAPS.001	implementation	complete	#NEXT.L2.DISPATCH.001	/home/server/woltk-trinity-legacy/src/server/game/Grids/NGrid.h; /home/server/woltk-trinity-legacy/src/server/game/Grids/NGrid.cpp; /home/server/woltk-trinity-legacy/src/server/game/Grids/GridStates.cpp; /home/server/woltk-trinity-legacy/src/server/game/Grids/GridStates.h	crates/wow-map/src/grid.rs; crates/wow-map/src/lib.rs	GridStateKind numeric values match C++; GridInfo TimeTracker/relocation timer/unload-lock semantics are tested; NGrid owns 8x8 cells, id, x/y, loaded flag and state; Active/Idle/Removal transitions are behind MapGridHost	cargo test -p wow-map	Full Map skeleton and ObjectGridLoader remain follow-up
#NEXT.L3.MAPS.002	implementation	complete	#NEXT.L3.MAPS.001	/home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp; /home/server/woltk-trinity-legacy/src/server/game/Maps/Map.h	crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	Map skeleton owns pointer-equivalent i_grids[64][64], create/load/unload hooks, expiry reset, ActiveObjectsNearGrid and terrain hook boundary	cargo test -p wow-map	ObjectGridLoader and personal phase tracker remain follow-up
#NEXT.L3.MAPS.003	implementation	complete	#NEXT.L3.MAPS.002	/home/server/woltk-trinity-legacy/src/server/game/Grids/ObjectGridLoader.cpp; /home/server/woltk-trinity-legacy/src/server/game/Grids/ObjectGridLoader.h	crates/wow-map/src/object_grid_loader.rs; crates/wow-map/src/spawn.rs; crates/wow-map/src/lib.rs	ObjectGridLoader::LoadN consumes SpawnStore and NGrid cells without DB queries per cell; loads creature/gameobject/areatrigger GUIDs and corpses; wires through Map lifecycle hook	cargo test -p wow-map	Actual LoadFromDB/MapObject SetCurrentCell/AddToWorld is deferred to canonical entity phase
#NEXT.L3.MAPS.004	implementation	complete	#NEXT.L3.MAPS.002; #NEXT.L3.MAPS.003	/home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp; /home/server/woltk-trinity-legacy/src/server/game/Maps/Map.h; /home/server/woltk-trinity-legacy/src/server/game/Phasing/PersonalPhaseTracker.cpp; /home/server/woltk-trinity-legacy/src/server/game/Phasing/PersonalPhaseTracker.h; /home/server/woltk-trinity-legacy/src/server/game/Grids/ObjectGridLoader.cpp	crates/wow-map/src/personal_phase.rs; crates/wow-map/src/object_grid_loader.rs; crates/wow-map/src/map.rs; crates/wow-map/src/lib.rs	Player-triggered EnsureGridLoadedForActiveObject loads personal phase grids instead of only marking the base grid active; one load per owner/grid/phase; unload and one-minute deletion tracking ported	cargo test -p wow-map	Actual personal object ownership on entities is completed in canonical entity phase
#NEXT.L3.MAPS.005	implementation	complete	#NEXT.L3.MAPS.003	/home/server/woltk-trinity-legacy/src/server/game/Grids/ObjectGridLoader.cpp; /home/server/woltk-trinity-legacy/src/server/game/Grids/ObjectGridLoader.h; /home/server/woltk-trinity-legacy/src/server/game/Maps/Map.cpp	crates/wow-map/src/grid_unload.rs; crates/wow-map/src/grid.rs; crates/wow-map/src/lib.rs	Grid unload helpers emit C++-ordered GUID actions for stoper, evacuator, cleaner and unloader; non-corpse grid object sets are cleared	cargo test -p wow-map	Concrete entity method effects are deferred to canonical entity phase
#NEXT.L3.MAPS.006	implementation	complete	#NEXT.L3.MAPS.005	/home/server/woltk-trinity-legacy/src/server/game/Grids/ObjectGridLoader.cpp; /home/server/woltk-trinity-legacy/src/server/game/Grids/ObjectGridLoader.h	crates/wow-map/src/grid_unload.rs; crates/wow-entities	Grid unload actions are bound to real entity helpers for Creature, GameObject, Corpse, DynamicObject, AreaTrigger, SceneObject and Conversation	cargo test -p wow-map grid_unload; cargo test -p wow-entities grid_unload	Runtime Map-owned store integration remains under #NEXT.L3.MAPS.009/#013; action-to-entity behavior is no longer a gap
#NEXT.L3.MAPS.007	implementation	complete	#NEXT.L3.MAPS.002; #NEXT.L3.MAPS.005	/home/server/woltk-trinity-legacy/src/server/game/Maps/MapManager.cpp; /home/server/woltk-trinity-legacy/src/server/game/Maps/MapManager.h	crates/wow-map/src/manager.rs; crates/wow-map/src/lib.rs	Ordered i_maps, create/find/range iteration, serial update/delayed-update, destroy/unload, instance id allocator and scheduled script counter are ported	cargo test -p wow-map	CreateMap(Player*) branches are deferred until Player/Group/InstanceLock/Battleground exist
#NEXT.L3.MAPS.010	implementation	complete	#NEXT.L3.MAPS.007	/home/server/woltk-trinity-legacy/src/server/game/Maps/MapUpdater.cpp; /home/server/woltk-trinity-legacy/src/server/game/Maps/MapUpdater.h; /home/server/woltk-trinity-legacy/src/server/game/Maps/MapManager.cpp	crates/wow-map/src/manager.rs; crates/wow-map/src/lib.rs	MapUpdater activate/deactivate/activated/schedule_update/wait API is ported and MapManager::update uses schedule+wait when activated; execution is inline deterministic fallback	cargo test -p wow-map	Real C++-equivalent worker threads are deferred until map ownership can safely support parallel mutable updates
#NEXT.L3.MAPS.012	implementation	complete	#NEXT.L3.MAPS.010	/home/server/woltk-trinity-legacy/src/server/game/World/World.cpp; /home/server/woltk-trinity-legacy/src/server/worldserver/Main.cpp; /home/server/woltk-trinity-legacy/src/server/game/Maps/MapManager.cpp	crates/world-server/src/main.rs; crates/world-server/Cargo.toml	world-server owns a process-wide wow_map::MapManager initialized from GridCleanUpDelay/MapUpdateInterval/MapUpdate.Threads and runs a global elapsed-diff update task	cargo test -p world-server; cargo test -p wow-map	Legacy wow-world MapManager and session-local creature/combat ticks remain #NEXT.L3.MAPS.009/#017/#016a
#NEXT.L3.MAPS.008a	implementation	complete	#NEXT.L3.MAPS.008	/home/server/woltk-trinity-legacy/src/server/game/Maps/MapManager.cpp:139; /home/server/woltk-trinity-legacy/src/server/game/Maps/MapManager.cpp:247	crates/wow-map/src/manager.rs	Pure C++ CreateMap/FindInstanceIdForPlayer decision core is ported for world, split-by-faction, battleground, garrison and dungeon branches, including active locks, recent normal instances, generated ids and flex-lock conflict handling	cargo test -p wow-map manager::tests::create_map_decision; cargo test -p wow-map manager::tests::find_instance_id_for_player	Real Player/Group/InstanceLock/Battleground/DB2 binding remains #NEXT.L3.MAPS.008; do not mark parent complete until runtime types provide those fields
